COUNTRY NAME,WHO REGION,ISO CODE,ALL LTBI,POPULATION,01-05 MIGRANT,06-10 MIGRANT,11-15 MIGRANT,16-21 MIGRANT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,LATITUDE,LONGITUDE
Sierra Leone,AFR,SLE,"1,980,000",7140688,"1,145",435,395,305,,,,,,,,,,,,,,,,,,,,,8.460555,-11.7799
El Salvador,AMR,SLV,"415,000",6209526,"2,265","4,145","3,525","3,235",,,,,,,,,,,,,,,,,,,,,13.79419,-88.8965
Somalia,AFR,SOM,"2,920,000",13309235,"3,245","3,460","5,105","6,315",,,,,,,,,,,,,,,,,,,,,5.152149,46.19962
Serbia,EUR,SRB,"2,460,000",7543960,"3,030","1,805","1,665","2,100",,,,,,,,,,,,,,,,,,,,,44.01652,21.00586
South Sudan,AFR,SSD,"1,830,000",11213284,"2,515",770,375,825,,,,,,,,,,,,,,,,,,,,,6.877,31.307
Suriname,AMR,SUR,"121,000",569682,150,85,65,75,,,,,,,,,,,,,,,,,,,,,3.919305,-56.0278
Slovakia,EUR,SVK,"902,000",5419569,"1,745",605,650,"1,330",,,,,,,,,,,,,,,,,,,,,48.66903,19.69902
Slovenia,EUR,SVN,"428,000",2074917,1.40E+02,70,160,130,,,,,,,,,,,,,,,,,,,,,46.15124,14.99546
Sweden,EUR,SWE,"94,900",9747508,4.15E+02,500,550,725,,,,,,,,,,,,,,,,,,,,,60.12816,18.6435
Eswatini,AFR,SWZ,"332,000",1125865,10,75,145,95,,,,,,,,,,,,,,,,,,,,,-26.5225,31.4659
Chad,AFR,TCD,"1,460,000",13697126,285,300,420,690,,,,,,,,,,,,,,,,,,,,,15.45417,18.73221
Togo,AFR,TGO,"297,000",7288383,405,935,"1,415","1,570",,,,,,,,,,,,,,,,,,,,,8.619543,0.824782
Tajikistan,EUR,TJK,"1,570,000",8326348,395,355,250,285,,,,,,,,,,,,,,,,,,,,,38.86103,71.27609
Turkmenistan,EUR,TKM,"1,240,000",5663152,185,135,125,135,,,,,,,,,,,,,,,,,,,,,38.96972,59.55628
Trinidad and Tobago,AMR,TTO,"20,800",1450661,"3,405","4,105","1,975","2,125",,,,,,,,,,,,,,,,,,,,,10.6918,-61.2225
Tunisia,EMR,TUN,"382,000",11428948,"2,585","4,025","6,285","8,155",,,,,,,,,,,,,,,,,,,,,33.88692,9.537499
Turkey,EUR,TUR,"4,990,000",78112073,"4,775","4,170","3,385","10,150",,,,,,,,,,,,,,,,,,,,,38.96375,35.24332
Uganda,AFR,UGA,"5,450,000",36336539,800,"1,400","1,535","2,100",,,,,,,,,,,,,,,,,,,,,1.373333,32.29028
Ukraine,EUR,UKR,"5,610,000",45148075,"14,865","12,075","11,955","14,515",,,,,,,,,,,,,,,,,,,,,48.37943,31.16558
Uruguay,AMR,URY,"149,000",3391662,665,700,290,285,,,,,,,,,,,,,,,,,,,,,-32.5228,-55.7658
United States,AMR,USA,"12,900,000",3.22E+08,"18,220","30,255","30,650","39,875",,,,,,,,,,,,,,,,,,,,,37.09024,-95.7129
Uzbekistan,EUR,UZB,"3,050,000",30446542,"1,525","1,515","1,165","1,085",,,,,,,,,,,,,,,,,,,,,41.37749,64.58526
Venezuela,AMR,VEN,"1,120,000",30193258,"3,610","5,125","5,675","7,055",,,,,,,,,,,,,,,,,,,,,6.42375,-66.5897
Vietnam,WPR,VNM,"35,900,000",91235504,"9,055","10,980","10,350","14,725",,,,,,,,,,,,,,,,,,,,,14.05832,108.2772
Yemen,EMR,YEM,"4,540,000",27753304,460,660,665,"1,905",,,,,,,,,,,,,,,,,,,,,15.55273,48.51639
South Africa,AFR,ZAF,"17,200,000",54729551,"5,300","4,975","5,905","8,515",,,,,,,,,,,,,,,,,,,,,-30.5595,22.93751
Zambia,AFR,ZMB,"4,870,000",15737793,370,410,410,435,,,,,,,,,,,,,,,,,,,,,-13.1339,27.84933
Zimbabwe,AFR,ZWE,"2,830,000",13855753,"2,845","2,380","1,685","2,165",,,,,,,,,,,,,,,,,,,,,-19.0154,29.15486
